neighborhood,area,construction_date,floor_number,total_price,number_of_rooms,elevator,parking,sotrage_room
neighborhood,area,construction_date,floor_number,total_price,number_of_rooms,elevator,parking,sotrage_room
۲ ساعت پیش در تهران، آذری,0,0,2,۴۹۴٬۰۰۰٬۰۰۰ تومان,0,1,1,
۱ هفته پیش در تهران، شهر‌زیبا,72,1395,1,۲٬۲۰۰٬۰۰۰٬۰۰۰ تومان,2,1,1,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
دقایقی پیش در تهران، گیشا (کوی نصر),83,1403,3,۱۵٬۸۰۰٬۰۰۰٬۰۰۰ تومان,2,1,1,
دقایقی پیش در تهران، گیشا (کوی نصر),80,1403,2,۱٬۱۱۱ تومان,2,1,1,
دقایقی پیش در تهران، دریاچه شهدای خلیج فارس,122,1403,13,۱٬۲۰۰٬۰۰۰٬۰۰۰ تومان,2,1,1,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
دقایقی پیش در تهران، جی,57,1384,3,۲٬۶۲۰٬۰۰۰٬۰۰۰ تومان,1,0,0,
دقایقی پیش در تهران، جوادیه,110,1402,2,۴۹۰٬۰۰۰٬۰۰۰ تومان,2,1,1,
دقایقی پیش در تهران، امامزاده حسن(ع),41,1384,2,۲٬۲۸۰٬۰۰۰٬۰۰۰ تومان,1,0,0,
,0,0,0,,0,0,0,
دقایقی پیش در تهران، جی,118,1403,1,۷٬۲۰۰٬۰۰۰٬۰۰۰ تومان,2,1,1,
یک ربع پیش در تهران، چیتگر,70,1398,2,۲٬۳۰۰٬۰۰۰٬۰۰۰ تومان,2,1,1,
یک ربع پیش در تهران، حسین‌آباد,100,1399,5,۱۳٬۹۰۰٬۰۰۰٬۰۰۰ تومان,2,1,1,
,0,0,0,,0,0,0,
